Feature,Sensor,Channel,Metric,Overall_Mean,Overall_Std,Overall_Min,Overall_Max,Overall_Median,healthy_Mean,healthy_Std,healthy_Median,healthy_N,neuro_Mean,neuro_Std,neuro_Median,neuro_N,ortho_Mean,ortho_Std,ortho_Median,ortho_N
RF_FreeAcc_Z_std,RF,FreeAcc,Z_std,3.732646,1.655219,0.024333,9.632963,3.450284,5.333471,1.555494,5.384427,373,3.330779,1.480984,3.147939,1488,3.735760,1.345848,3.479765,280
RF_FreeAcc_Z_rms,RF,FreeAcc,Z_rms,3.776760,1.648788,0.029241,9.720107,3.477001,5.377728,1.550543,5.393989,373,3.378874,1.471776,3.196591,1488,3.758526,1.352695,3.483819,280
RF_FreeAcc_Z_dom_freq,RF,FreeAcc,Z_dom_freq,1.817934,1.263519,0.166667,7.833333,1.166667,2.835121,1.535082,3.500000,373,1.448993,0.939980,1.000000,1490,2.426190,1.384872,2.000000,280
RF_FreeAcc_Z_spec_centroid,RF,FreeAcc,Z_spec_centroid,5.417315,1.495545,2.438898,11.698715,5.275479,6.083902,1.356970,6.073951,373,5.050623,1.457569,4.654602,1488,6.478026,0.968054,6.254841,280
RF_FreeAcc_Z_spec_power,RF,FreeAcc,Z_spec_power,10036.115157,8783.356074,0.356435,55862.590253,7166.563057,18577.298469,10044.972273,17453.410258,373,7998.207348,7471.860598,5965.578370,1488,9488.063171,6298.375286,7289.602563,280
RF_Gyr_X_mean,RF,Gyr,X_mean,0.001786,0.111810,-0.530126,0.537806,0.004761,-0.049501,0.151939,-0.067639,373,0.028528,0.089528,0.024584,1488,-0.072008,0.097946,-0.068834,280
RF_Gyr_X_std,RF,Gyr,X_std,0.820062,0.314614,0.006002,2.061705,0.800108,1.053628,0.278578,1.031057,373,0.755365,0.289288,0.737375,1488,0.852740,0.336718,0.821423,280
RF_Gyr_X_rms,RF,Gyr,X_rms,0.826587,0.317392,0.006407,2.066875,0.805796,1.065259,0.280067,1.042651,373,0.760419,0.291292,0.741813,1488,0.860278,0.339436,0.826096,280
RF_Gyr_X_dom_freq,RF,Gyr,X_dom_freq,2.052652,1.211935,0.166667,11.666667,1.833333,1.967382,1.311843,1.833333,373,2.086577,1.184936,1.833333,1490,1.985714,1.211666,1.833333,280
RF_Gyr_X_spec_centroid,RF,Gyr,X_spec_centroid,6.592429,1.263889,3.650880,12.393152,6.407668,6.922983,1.298430,6.660201,373,6.527600,1.242186,6.379196,1488,6.496603,1.266111,6.184655,280
RF_Gyr_X_spec_power,RF,Gyr,X_spec_power,464.409811,348.160376,0.021687,2558.901591,385.386500,714.899329,384.951286,639.979966,373,393.836495,292.757906,327.323569,1488,505.768748,403.990753,406.196129,280
RF_Gyr_Y_mean,RF,Gyr,Y_mean,-0.023029,0.102751,-0.471548,0.609505,-0.020010,-0.037367,0.124506,-0.040689,373,-0.019238,0.101118,-0.017889,1488,-0.024074,0.073910,-0.013919,280
RF_Gyr_Y_std,RF,Gyr,Y_std,2.763035,0.991423,0.018121,5.085471,2.761083,3.700100,0.694203,3.797944,373,2.547492,0.942989,2.556540,1488,2.660184,0.851462,2.783600,280
RF_Gyr_Y_rms,RF,Gyr,Y_rms,2.764870,0.991895,0.018162,5.087026,2.762236,3.702296,0.694637,3.797946,373,2.549379,0.943506,2.557011,1488,2.661271,0.851602,2.784929,280
RF_Gyr_Y_dom_freq,RF,Gyr,Y_dom_freq,1.666511,0.333839,0.166667,3.166667,1.666667,1.742181,0.249616,1.833333,373,1.650895,0.357676,1.666667,1490,1.648810,0.283768,1.666667,280
RF_Gyr_Y_spec_centroid,RF,Gyr,Y_spec_centroid,5.227642,1.342255,2.896926,10.177260,5.035464,5.212883,1.229050,5.074276,373,5.272802,1.378252,5.069283,1488,5.007310,1.273124,4.819759,280
RF_Gyr_Y_spec_power,RF,Gyr,Y_spec_power,5187.378635,3289.820905,0.197669,15569.090613,4589.443420,8531.247439,2890.103913,8683.572460,373,4441.809999,2962.594286,3934.650800,1488,4695.032446,2634.758667,4664.621940,280
RF_Gyr_Z_mean,RF,Gyr,Z_mean,0.000224,0.100016,-0.451261,1.284022,0.000714,0.022683,0.142565,0.024501,373,-0.013483,0.087061,-0.008375,1488,0.043143,0.075530,0.039434,280
RF_Gyr_Z_std,RF,Gyr,Z_std,1.118341,0.519917,0.003798,3.734132,1.027239,1.581953,0.560479,1.629156,373,0.999956,0.429788,0.934454,1488,1.129878,0.554788,1.075715,280
RF_Gyr_Z_rms,RF,Gyr,Z_rms,1.122495,0.520581,0.004498,3.735994,1.031768,1.589398,0.557946,1.635814,373,1.003456,0.430654,0.939074,1488,1.133122,0.554973,1.076742,280
RF_Gyr_Z_dom_freq,RF,Gyr,Z_dom_freq,1.872764,0.963698,0.166667,9.333333,1.666667,1.758266,0.656186,1.833333,373,1.905705,1.037935,1.666667,1490,1.850000,0.884690,1.666667,280
RF_Gyr_Z_spec_centroid,RF,Gyr,Z_spec_centroid,5.900826,1.303252,3.016942,11.195396,5.716820,6.022993,1.373061,5.850768,373,5.889794,1.275865,5.694584,1488,5.796709,1.344060,5.632366,280
RF_Gyr_Z_spec_power,RF,Gyr,Z_spec_power,915.575378,870.322011,0.008682,8394.226862,635.248701,1695.170418,1205.350842,1597.810388,373,713.079424,618.095170,525.672118,1488,953.164774,896.615196,696.623541,280
