Feature,d_healthy_vs_neuro,d_healthy_vs_neuro_interp,d_healthy_vs_ortho,d_healthy_vs_ortho_interp,d_neuro_vs_ortho,d_neuro_vs_ortho_interp
RF_Gyr_X_dom_freq,-0.146796,Negligible,-0.024739,Negligible,0.124151,Negligible
RF_Gyr_X_spec_centroid,0.267130,Small,0.337211,Small,0.071351,Negligible
RF_Gyr_X_spec_power,0.940168,Large,0.521990,Medium,-0.294428,Small
RF_Gyr_Y_mean,-0.092929,Negligible,-0.070194,Negligible,0.026623,Negligible
RF_Gyr_Y_std,1.177502,Large,1.340046,Large,-0.045814,Negligible
RF_Gyr_Y_rms,1.177112,Large,1.340907,Large,-0.044846,Negligible
RF_Gyr_Y_dom_freq,0.233533,Small,0.339632,Small,0.037049,Negligible
RF_Gyr_Y_spec_centroid,-0.063151,Negligible,0.150412,Negligible,0.201436,Small
RF_Gyr_Y_spec_power,1.271120,Large,1.347256,Large,-0.005466,Negligible
RF_Gyr_Z_mean,0.332413,Small,-0.143516,Negligible,-0.569005,Medium
RF_Gyr_Z_std,1.224976,Large,0.894826,Large,-0.178654,Negligible
RF_Gyr_Z_rms,1.231690,Large,0.903017,Large,-0.178221,Negligible
RF_Gyr_Z_dom_freq,-0.131921,Negligible,-0.140201,Negligible,0.011904,Negligible
RF_Gyr_Z_spec_centroid,0.005188,Negligible,0.095559,Negligible,0.094410,Negligible
RF_Gyr_Z_spec_power,1.233339,Large,0.762430,Medium,-0.226999,Small
