Feature,Sensor,Channel,Metric,Overall_Mean,Overall_Std,Overall_Min,Overall_Max,Overall_Median,healthy_Mean,healthy_Std,healthy_Median,healthy_N,neuro_Mean,neuro_Std,neuro_Median,neuro_N,ortho_Mean,ortho_Std,ortho_Median,ortho_N
HE_Acc_Y_spec_centroid,HE,Acc,Y_spec_centroid,5.415469,1.885907,0.000000,10.448651,5.234875,5.944172,1.785325,5.779210,29,5.350633,1.908479,5.235264,612,5.638841,1.756264,5.181761,109
HE_Acc_Y_spec_power,HE,Acc,Y_spec_power,409.345740,332.783338,0.000000,2619.104688,334.519492,556.904493,373.346886,467.703613,29,384.604919,320.754629,305.061604,612,508.998756,361.255853,466.055709,109
HE_Acc_Z_mean,HE,Acc,Z_mean,0.107656,2.351589,-8.239720,7.905424,0.132137,1.952944,2.496354,2.277927,29,-0.304847,2.196297,-0.233296,612,1.932776,2.050738,2.110215,109
HE_Acc_Z_std,HE,Acc,Z_std,0.976475,0.487029,0.000000,3.540635,0.850305,1.014013,0.410520,0.792994,29,0.969296,0.493295,0.845052,612,1.006798,0.472274,0.877448,109
HE_Acc_Z_rms,HE,Acc,Z_rms,2.223473,1.335334,0.000000,8.547456,2.004772,2.932841,1.583259,2.726592,29,2.095027,1.305716,1.923129,612,2.755928,1.247536,2.708199,109
HE_Acc_Z_dom_freq,HE,Acc,Z_dom_freq,0.608444,0.517333,0.333333,3.333333,0.333333,0.459770,0.287488,0.333333,29,0.631264,0.547124,0.333333,612,0.519878,0.352624,0.333333,109
HE_Acc_Z_spec_centroid,HE,Acc,Z_spec_centroid,5.965241,2.157178,0.000000,12.353116,5.866025,6.663950,1.775702,6.712133,29,5.874456,2.172986,5.740965,612,6.289073,2.111319,6.228388,109
HE_Acc_Z_spec_power,HE,Acc,Z_spec_power,359.509225,396.842064,0.000000,3785.997571,218.358513,359.675464,292.753434,189.918099,29,357.120988,398.106116,215.670065,612,372.874179,416.067166,232.524562,109
HE_FreeAcc_X_mean,HE,FreeAcc,X_mean,-0.058404,0.661925,-3.120770,3.170885,-0.024427,-0.157498,0.990114,-0.052722,29,-0.121093,0.571109,-0.045047,612,0.319943,0.877397,0.221712,109
HE_FreeAcc_X_std,HE,FreeAcc,X_std,0.812195,0.400063,0.000000,2.944855,0.711853,1.267725,0.455016,1.244439,29,0.713802,0.330386,0.653595,612,1.243447,0.374819,1.242241,109
